Date,Open,High,Low,Close
2023-07-14 16:50:00,31237.9,31242.2,31230.4,31233.1
2023-07-14 16:51:00,31233.1,31233.2,31217.0,31217.0
2023-07-14 16:52:00,31217.0,31219.3,31200.8,31219.2
2023-07-14 16:53:00,31219.2,31220.7,31210.3,31217.6
2023-07-14 16:54:00,31217.6,31231.5,31213.9,31216.7
2023-07-14 16:55:00,31216.7,31216.7,31178.6,31192.4
2023-07-14 16:56:00,31192.4,31207.7,31187.8,31190.5
2023-07-14 16:57:00,31190.5,31195.6,31181.9,31181.9
2023-07-14 16:58:00,31181.9,31203.6,31181.9,31203.5
2023-07-14 16:59:00,31203.5,31204.9,31187.3,31204.8
2023-07-14 17:00:00,31204.8,31204.9,31183.8,31186.8
2023-07-14 17:01:00,31186.8,31186.9,31157.8,31157.8
2023-07-14 17:02:00,31157.8,31172.2,31157.8,31171.8
2023-07-14 17:03:00,31171.8,31194.6,31168.0,31181.9
2023-07-14 17:04:00,31181.9,31181.9,31152.0,31166.1
2023-07-14 17:05:00,31166.1,31166.5,31093.3,31107.1
2023-07-14 17:06:00,31107.1,31141.9,31085.0,31139.4
2023-07-14 17:07:00,31139.4,31153.8,31135.9,31153.8
2023-07-14 17:08:00,31153.8,31175.5,31140.0,31140.0
2023-07-14 17:09:00,31140.0,31152.0,31126.4,31128.4
2023-07-14 17:10:00,31128.4,31130.9,31100.6,31125.0
2023-07-14 17:11:00,31125.0,31134.0,31107.0,31134.0
2023-07-14 17:12:00,31134.0,31140.0,31129.9,31132.6
2023-07-14 17:13:00,31132.6,31149.5,31132.5,31149.4
2023-07-14 17:14:00,31149.4,31149.5,31073.7,31084.3
2023-07-14 17:15:00,31084.3,31097.9,31057.5,31068.1
2023-07-14 17:16:00,31068.1,31070.8,30906.0,30993.5
2023-07-14 17:17:00,30993.5,30993.5,30850.0,30899.9
2023-07-14 17:18:00,30899.9,30965.5,30899.9,30931.9
2023-07-14 17:19:00,30931.9,30932.0,30820.0,30883.7
2023-07-14 17:20:00,30883.7,30920.0,30870.4,30919.9
2023-07-14 17:21:00,30919.9,30922.1,30886.3,30894.8
2023-07-14 17:22:00,30894.8,30927.4,30883.1,30917.3
2023-07-14 17:23:00,30917.3,30952.7,30902.1,30933.2
2023-07-14 17:24:00,30933.2,30938.8,30900.0,30913.6
2023-07-14 17:25:00,30913.6,30924.2,30875.8,30917.2
2023-07-14 17:26:00,30917.2,30926.0,30917.0,30925.9
2023-07-14 17:27:00,30925.9,30976.2,30925.9,30976.2
2023-07-14 17:28:00,30976.2,30976.2,30924.1,30929.8
2023-07-14 17:29:00,30929.8,30933.2,30910.0,30915.4
2023-07-14 17:30:00,30915.4,30942.0,30886.0,30926.0
2023-07-14 17:31:00,30926.0,30939.0,30886.4,30939.0
2023-07-14 17:32:00,30939.0,30962.6,30929.0,30948.5
2023-07-14 17:33:00,30948.5,30949.6,30930.5,30944.4
2023-07-14 17:34:00,30944.4,30950.0,30921.1,30931.6
2023-07-14 17:35:00,30931.6,30935.7,30895.1,30903.1
2023-07-14 17:36:00,30903.1,30903.9,30871.5,30903.9
2023-07-14 17:37:00,30903.9,30903.9,30875.0,30887.7
2023-07-14 17:38:00,30887.7,30891.9,30855.2,30876.9
2023-07-14 17:39:00,30876.9,30876.9,30854.0,30859.2
2023-07-14 17:40:00,30859.2,30864.0,30820.0,30864.0
2023-07-14 17:41:00,30864.0,30864.0,30835.0,30843.3
2023-07-14 17:42:00,30843.3,30848.0,30829.7,30829.7
2023-07-14 17:43:00,30829.7,30849.8,30783.0,30844.3
2023-07-14 17:44:00,30844.3,30884.3,30830.0,30871.5
2023-07-14 17:45:00,30871.5,30874.0,30804.4,30843.1
2023-07-14 17:46:00,30843.1,30903.4,30843.0,30894.9
2023-07-14 17:47:00,30894.9,30901.7,30872.9,30900.0
2023-07-14 17:48:00,30900.0,30901.8,30865.1,30901.8
2023-07-14 17:49:00,30901.8,30903.5,30883.1,30885.5
2023-07-14 17:50:00,30885.5,30894.2,30860.8,30873.2
2023-07-14 17:51:00,30873.2,30879.3,30846.4,30876.1
2023-07-14 17:52:00,30876.1,30881.1,30855.0,30855.1
2023-07-14 17:53:00,30855.1,30879.0,30845.1,30876.8
2023-07-14 17:54:00,30876.8,30888.0,30875.8,30875.8
2023-07-14 17:55:00,30875.8,30875.8,30853.9,30854.8
2023-07-14 17:56:00,30854.8,30854.9,30802.1,30806.0
2023-07-14 17:57:00,30806.0,30811.8,30709.0,30752.0
2023-07-14 17:58:00,30752.0,30774.9,30678.0,30692.9
2023-07-14 17:59:00,30692.9,30710.0,30611.0,30675.8
2023-07-14 18:00:00,30675.8,30696.7,30588.0,30625.4
2023-07-14 18:01:00,30625.4,30697.4,30625.4,30697.4
2023-07-14 18:02:00,30697.4,30723.0,30693.1,30705.6
2023-07-14 18:03:00,30705.6,30720.0,30682.6,30709.6
2023-07-14 18:04:00,30709.6,30750.6,30709.6,30746.7
2023-07-14 18:05:00,30746.7,30746.7,30705.8,30705.8
2023-07-14 18:06:00,30705.8,30714.5,30686.7,30714.4
2023-07-14 18:07:00,30714.4,30714.5,30660.0,30699.9
2023-07-14 18:08:00,30699.9,30717.6,30699.9,30715.8
2023-07-14 18:09:00,30715.8,30715.8,30700.0,30700.1
2023-07-14 18:10:00,30700.1,30700.4,30668.4,30680.0
2023-07-14 18:11:00,30680.0,30717.6,30671.5,30695.7
2023-07-14 18:12:00,30695.7,30730.0,30695.7,30720.0
2023-07-14 18:13:00,30720.0,30735.8,30719.9,30735.8
2023-07-14 18:14:00,30735.8,30742.7,30725.0,30725.1
2023-07-14 18:15:00,30725.1,30725.1,30694.0,30694.1
2023-07-14 18:16:00,30694.1,30698.4,30687.6,30693.8
2023-07-14 18:17:00,30693.8,30697.5,30686.7,30697.4
2023-07-14 18:18:00,30697.4,30697.5,30681.8,30691.3
2023-07-14 18:19:00,30691.3,30691.3,30666.0,30670.0
2023-07-14 18:20:00,30670.0,30670.1,30581.9,30588.1
2023-07-14 18:21:00,30588.1,30599.4,30468.0,30534.2
2023-07-14 18:22:00,30534.2,30537.9,30450.1,30477.1
2023-07-14 18:23:00,30477.1,30549.7,30460.5,30536.2
2023-07-14 18:24:00,30536.2,30555.0,30508.7,30541.5
2023-07-14 18:25:00,30541.5,30541.5,30382.0,30414.3
2023-07-14 18:26:00,30414.3,30427.0,30311.5,30375.7
2023-07-14 18:27:00,30375.7,30424.3,30347.7,30360.5
2023-07-14 18:28:00,30360.5,30425.0,30351.0,30422.9
2023-07-14 18:29:00,30422.9,30422.9,30327.7,30373.8
2023-07-14 18:30:00,30373.8,30373.8,30210.0,30223.8
2023-07-14 18:31:00,30223.8,30239.3,30036.4,30142.3
2023-07-14 18:32:00,30142.3,30252.6,30093.8,30246.4
2023-07-14 18:33:00,30246.4,30249.7,30133.6,30162.0
2023-07-14 18:34:00,30162.0,30213.5,30105.0,30117.2
2023-07-14 18:35:00,30117.2,30159.8,30009.3,30045.4
2023-07-14 18:36:00,30045.4,30138.0,30045.2,30138.0
2023-07-14 18:37:00,30138.0,30176.1,30082.5,30167.9
2023-07-14 18:38:00,30167.9,30206.4,30164.2,30197.4
2023-07-14 18:39:00,30197.4,30213.9,30171.0,30180.1
2023-07-14 18:40:00,30180.1,30180.1,30086.4,30108.0
2023-07-14 18:41:00,30108.0,30160.0,30087.0,30152.6
2023-07-14 18:42:00,30152.6,30159.9,30111.1,30150.5
2023-07-14 18:43:00,30150.5,30150.5,30065.8,30065.8
