short,1585838520,6770.0,6969.5,199.5,1585840800,6727.0,38,0.216,win,6727.0
short,1585846920,6982.0,7181.5,199.5,1585847100,7181.5,3,-1.000,loss,6939.0
long,1585850640,6971.0,6771.5,199.5,1585852920,6771.5,38,-1.000,loss,7014.0
long,1585853160,6793.5,6594.0,199.5,1585855500,6836.5,39,0.216,win,6836.5
long,1585859340,6661.0,6461.5,199.5,1585859460,6704.0,2,0.216,win,6704.0
short,1585933200,6793.5,6992.0,198.5,1585933380,6751.0,3,0.214,win,6751.0
long,1586000340,6741.5,6592.5,149.0,1586017200,6774.5,281,0.221,win,6774.5
short,1586032200,6872.0,7020.5,148.5,1586032440,6839.0,4,0.222,win,6839.0
short,1586033460,6894.5,7043.5,149.0,1586033460,6862.0,0,0.218,win,6862.0
short,1586108760,6826.5,6979.0,152.5,1586108760,6793.0,0,0.220,win,6793.0
long,1586289780,7194.5,7044.0,150.5,1586313360,7227.5,393,0.219,win,7227.5
long,1586433420,7174.0,7071.0,103.0,1586434500,7198.0,18,0.233,win,7198.0
long,1586494860,7029.5,6926.5,103.0,1586494980,6926.5,2,-1.000,loss,7053.5
long,1586496000,6936.0,6833.0,103.0,1586496060,6960.0,1,0.233,win,6960.0
long,1586730120,6965.0,6858.0,107.0,1586730420,6989.5,5,0.229,win,6989.5
long,1586736000,6861.0,6754.0,107.0,1586737740,6754.0,29,-1.000,loss,6885.5
long,1586738460,6664.5,6557.5,107.0,1586738940,6689.0,8,0.229,win,6689.0
long,1586779260,6669.0,6533.0,136.0,1586779320,6699.0,1,0.221,win,6699.0
long,1586779440,6656.5,6520.5,136.0,1586779500,6686.5,1,0.221,win,6686.5
long,1586995260,6523.0,6412.0,111.0,1586995500,6548.0,4,0.225,win,6548.0
short,1587020580,6770.0,6881.0,111.0,1587021000,6881.0,7,-1.000,loss,6745.0
short,1587021900,6916.5,7027.5,111.0,1587022380,6891.5,8,0.225,win,6891.5
short,1587025920,7010.5,7121.5,111.0,1587025980,7121.5,1,-1.000,loss,6985.0
long,1587033480,6925.0,6804.0,121.0,1587033780,6952.0,5,0.223,win,6952.0
long,1587383220,6949.0,6884.0,65.0,1587383220,6965.5,0,0.254,win,6965.5
long,1587384000,6913.0,6848.0,65.0,1587384060,6929.0,1,0.246,win,6929.0
long,1587404700,6885.5,6820.5,65.0,1587404700,6901.5,0,0.246,win,6901.5
long,1587404820,6876.5,6811.5,65.0,1587405900,6892.5,18,0.246,win,6892.5
short,1587561660,7054.5,7128.5,74.0,1587561660,7036.5,0,0.243,win,7036.5
short,1587650700,7321.5,7385.5,64.0,1587650700,7385.5,0,-1.000,loss,7305.0
short,1587650820,7333.5,7397.5,64.0,1587651540,7397.5,12,-1.000,loss,7317.0
short,1587652500,7557.0,7621.5,64.5,1587652620,7540.5,2,0.256,win,7540.5
short,1587829920,7700.5,7762.5,62.0,1587829920,7684.5,0,0.258,win,7684.5
long,1587913800,7522.0,7466.5,55.5,1587913800,7536.5,0,0.261,win,7536.5
short,1587945600,7782.5,7838.0,55.5,1587945600,7768.0,0,0.261,win,7768.0
short,1588155960,8142.5,8188.5,46.0,1588155960,8129.5,0,0.283,win,8129.5
short,1588165440,8318.0,8370.0,52.0,1588165500,8304.0,1,0.269,win,8304.0
short,1588178640,8581.0,8633.0,52.0,1588178640,8633.0,0,-1.000,loss,8567.0
short,1588178880,8620.5,8672.0,51.5,1588178940,8672.0,1,-1.000,loss,8606.5
short,1588179120,8649.5,8701.0,51.5,1588179240,8635.0,2,0.282,win,8635.0
short,1588182060,8815.5,8867.0,51.5,1588182180,8867.0,2,-1.000,loss,8801.0
long,1588183380,8614.0,8562.0,52.0,1588183500,8628.0,2,0.269,win,8628.0
short,1588217340,9076.0,9127.5,51.5,1588217340,9061.5,0,0.282,win,9061.5
short,1588217520,9092.5,9144.5,52.0,1588217520,9078.5,0,0.269,win,9078.5
short,1588217640,9104.5,9156.5,52.0,1588217820,9156.5,3,-1.000,loss,9090.5
short,1588218120,9167.0,9218.5,51.5,1588218240,9152.5,2,0.282,win,9152.5
short,1588218660,9218.0,9269.5,51.5,1588218840,9269.5,3,-1.000,loss,9203.5
short,1588219080,9270.0,9322.0,52.0,1588219200,9255.5,2,0.279,win,9255.5
long,1588231080,9165.5,9113.5,52.0,1588231080,9180.0,0,0.279,win,9180.0
long,1588231140,9159.5,9107.5,52.0,1588231200,9107.5,1,-1.000,loss,9173.5
long,1588231800,9092.0,9040.0,52.0,1588231800,9106.0,0,0.269,win,9106.0
long,1588237560,8996.5,8944.5,52.0,1588237620,8944.5,1,-1.000,loss,9010.5
long,1588237980,8944.5,8892.5,52.0,1588238040,8958.5,1,0.269,win,8958.5
long,1588238100,8932.5,8880.5,52.0,1588238220,8880.5,2,-1.000,loss,8946.5
long,1588238400,8892.5,8841.0,51.5,1588238520,8907.0,2,0.282,win,8907.0
long,1588240200,8788.5,8736.5,52.0,1588240320,8736.5,2,-1.000,loss,8802.5
long,1588240380,8766.5,8715.0,51.5,1588240440,8780.5,1,0.272,win,8780.5
long,1588240560,8750.0,8698.0,52.0,1588240680,8698.0,2,-1.000,loss,8764.0
long,1588240980,8686.5,8634.5,52.0,1588241040,8700.5,1,0.269,win,8700.5
long,1588268280,8503.5,8390.0,113.5,1588268400,8530.0,2,0.233,win,8530.0
long,1588268760,8462.0,8348.0,114.0,1588268820,8488.5,1,0.232,win,8488.5
long,1588269000,8441.5,8327.5,114.0,1588269240,8468.0,4,0.232,win,8468.0
long,1588486260,8954.0,8825.5,128.5,1588486800,8983.5,9,0.230,win,8983.5
long,1588509000,8877.0,8725.0,152.0,1588509240,8911.0,4,0.224,win,8911.0
