1594425602.1074,9278.0,0.002,Buy
1594425602.774,9279.0,0.001,Buy
1594425606.1885,9280.0,0.234,Buy
1594425606.1885,9280.0,0.001,Buy
1594425606.1885,9279.0,0.004,Buy
1594425606.1885,9279.0,0.001,Buy
1594425609.8027,9279.5,0.001,Sell
1594425610.0538,9279.5,0.716,Sell
1594425610.0538,9279.5,0.009,Sell
1594425610.662,9280.0,0.002,Buy
1594425611.8697,9279.5,0.022,Sell
1594425612.2457,9279.5,0.728,Sell
1594425613.6841,9280.0,0.001,Buy
1594425613.6841,9280.0,0.001,Buy
1594425613.6841,9280.0,0.1,Buy
1594425613.6841,9280.0,0.073,Buy
1594425613.6841,9280.0,0.001,Buy
1594425613.6841,9280.0,0.064,Buy
1594425617.8549,9279.5,0.023,Sell
1594425619.0233,9280.0,0.1,Buy
1594425619.7692,9280.0,0.24,Buy
1594425621.0365,9279.5,0.003,Sell
1594425624.8775,9279.5,0.023,Sell
1594425628.8853,9279.5,0.009,Sell
1594425629.8407,9280.0,0.24,Buy
1594425634.9473,9280.0,0.24,Buy
1594425638.8637,9279.5,0.026,Sell
1594425641.8937,9279.5,0.021,Sell
1594425643.901,9279.5,0.009,Sell
1594425650.2535,9280.0,0.24,Buy
1594425654.9087,9279.5,0.02,Sell
1594425658.9163,9279.5,0.012,Sell
1594425659.8725,9279.5,0.018,Sell
1594425659.9842,9280.0,0.1,Buy
1594425662.3887,9279.5,0.001,Sell
1594425662.6205,9279.5,0.001,Sell
1594425663.5262,9280.0,0.001,Buy
1594425663.5262,9280.0,0.001,Buy
1594425663.5262,9280.0,0.015,Buy
1594425663.5262,9280.0,0.002,Buy
1594425663.5262,9280.0,0.023,Buy
1594425663.5262,9280.0,0.005,Buy
1594425663.5262,9280.0,0.016,Buy
1594425663.5262,9280.5,0.001,Buy
1594425663.5262,9280.0,0.001,Buy
1594425663.5262,9281.0,0.161,Buy
1594425663.5262,9280.0,0.009,Buy
1594425663.5262,9280.0,0.005,Buy
1594425670.4216,9281.0,0.001,Buy
1594425671.6488,9281.0,0.001,Buy
1594425677.4358,9281.0,0.24,Buy
1594425677.8433,9281.0,0.618,Buy
1594425678.1158,9281.0,0.378,Buy
1594425679.8185,9281.0,0.1,Buy
1594425682.4332,9281.0,0.016,Buy
1594425685.875,9281.0,0.24,Buy
1594425689.2305,9281.0,1.0,Buy
1594425693.0778,9280.5,0.022,Sell
1594425693.0778,9280.5,0.01,Sell
1594425698.5844,9280.5,1.09,Sell
1594425701.8903,9280.5,0.001,Sell
1594425701.9544,9280.5,0.003,Sell
1594425705.962,9280.5,0.019,Sell
1594425710.973,9281.0,0.24,Buy
1594425718.9695,9280.5,0.005,Sell
1594425720.8987,9280.5,0.821,Sell
1594425720.977,9280.5,0.578,Sell
1594425720.9841,9281.0,0.1,Buy
1594425721.0842,9281.0,0.1,Buy
1594425721.1841,9281.0,0.1,Buy
1594425721.2841,9281.0,0.1,Buy
1594425721.3842,9281.0,0.1,Buy
1594425721.4841,9281.0,0.1,Buy
1594425721.5841,9281.0,0.1,Buy
1594425721.6841,9281.0,0.1,Buy
1594425722.2944,9280.5,0.001,Sell
1594425724.8149,9281.0,0.004,Buy
1594425731.9845,9280.5,0.71,Sell
1594425733.0328,9281.0,4.0,Buy
1594425733.1504,9281.0,2.278,Buy
1594425733.9546,9281.0,0.431,Buy
1594425733.9593,9281.0,0.569,Buy
1594425734.0777,9281.0,0.24,Buy
1594425734.3293,9281.0,0.001,Buy
1594425735.3592,9281.0,1.7,Buy
1594425735.4248,9281.0,3.0,Buy
1594425735.9918,9280.5,0.495,Sell
1594425736.1555,9281.0,2.278,Buy
1594425736.9763,9281.0,2.278,Buy
1594425737.063,9281.0,0.3,Buy
1594425739.907,9280.5,0.559,Sell
1594425739.9842,9281.0,0.1,Buy
1594425740.0842,9281.0,0.1,Buy
1594425740.1843,9281.0,0.1,Buy
1594425740.2841,9281.0,0.1,Buy
1594425740.3843,9281.0,0.1,Buy
1594425744.5164,9280.5,0.1,Sell
1594425748.9992,9280.5,0.503,Sell
1594425749.9521,9281.0,0.109,Buy
1594425751.0072,9280.5,0.28,Sell
1594425751.0072,9280.5,0.393,Sell
1594425756.6742,9281.0,0.5,Buy
1594425758.9156,9280.5,0.483,Sell
1594425758.9842,9281.0,0.1,Buy
1594425759.0842,9281.0,0.1,Buy
1594425759.1842,9281.0,0.1,Buy
1594425759.2841,9281.0,0.1,Buy
1594425759.3842,9281.0,0.1,Buy
1594425760.6705,9280.5,0.01,Sell
1594425762.015,9280.5,0.011,Sell
1594425764.0225,9280.5,0.272,Sell
1594425764.9891,9281.0,0.01,Buy
1594425770.3859,9280.5,0.01,Sell
1594425775.0303,9280.5,0.816,Sell
1594425777.0395,9280.5,0.514,Sell
1594425779.8352,9281.0,0.3,Buy
1594425779.9242,9280.5,0.311,Sell
1594425779.9844,9281.0,0.1,Buy
1594425780.0842,9281.0,0.1,Buy
1594425780.1841,9281.0,0.1,Buy
1594425781.9956,9281.0,0.001,Buy
1594425788.0473,9280.5,0.594,Sell
1594425790.5269,9280.5,1.678,Sell
1594425792.0549,9280.5,0.45,Sell
1594425795.6289,9280.5,0.001,Sell
1594425795.7011,9281.0,5.0,Buy
1594425798.9333,9280.5,0.021,Sell
1594425798.9842,9281.0,0.1,Buy
1594425800.3092,9281.0,2.017,Buy
1594425805.0627,9280.5,0.019,Sell
1594425807.0701,9280.5,0.822,Sell
1594425810.5647,9281.0,0.5,Buy
1594425817.9421,9280.5,0.001,Sell
