10.txt,0.9084,1886,2343
1022.txt,0.8907,1079,1347
1052.txt,0.8106,1150,1317
11.txt,0.9235,1875,2340
1111.txt,0.9305,1066,1329
1112.txt,0.9115,1034,1265
1141.txt,0.9599,1024,1316
1142.txt,0.8692,1013,1239
1171.txt,0.9262,1024,1299
1172.txt,0.8254,1000,1210
12.txt,0.8909,1919,2337
1201.txt,0.9101,1000,1278
122.txt,0.8156,1757,2213
1231.txt,0.8894,1031,1258
13.txt,0.9275,1882,2336
14.txt,0.9208,1873,2332
15.txt,0.9047,1866,2326
151.txt,0.8240,1703,2245
16.txt,0.9210,1856,2322
17.txt,0.9339,1840,2319
18.txt,0.9179,1836,2313
184.txt,0.8269,1291,1890
19.txt,0.9172,1838,2309
20.txt,0.9153,1835,2304
21.txt,0.9220,1831,2299
211.txt,0.8832,1672,2176
212.txt,0.8212,1580,2031
213.txt,0.8041,1458,1890
214.txt,0.8232,1392,1801
216.txt,0.8366,1323,1662
217.txt,0.8750,1350,1612
218.txt,0.8327,1298,1553
22.txt,0.9161,1824,2292
23.txt,0.9009,1819,2286
24.txt,0.9143,1813,2284
241.txt,0.9116,1676,2143
242.txt,0.8166,1547,1958
243.txt,0.8690,1462,1820
244.txt,0.8124,1369,1715
245.txt,0.8511,1162,1635
246.txt,0.8348,1296,1566
25.txt,0.9089,1816,2279
26.txt,0.9139,1814,2277
27.txt,0.9102,1818,2274
271.txt,0.8791,1608,2095
272.txt,0.8986,1511,1909
273.txt,0.8910,1394,1741
275.txt,0.8047,1269,1564
28.txt,0.8965,1825,2272
29.txt,0.8719,1870,2265
30.txt,0.8708,1870,2262
301.txt,0.9356,1591,2061
302.txt,0.8912,1431,1847
303.txt,0.8811,1348,1685
304.txt,0.8392,1274,1572
305.txt,0.8531,1262,1498
306.txt,0.8198,1233,1408
331.txt,0.9149,1337,2018
332.txt,0.9102,1378,1788
333.txt,0.8812,1291,1617
35.txt,0.8587,1888,2304
36.txt,0.8130,2004,2292
361.txt,0.9469,1314,1988
362.txt,0.9175,1351,1737
37.txt,0.8596,1851,2278
391.txt,0.9471,1302,1935
392.txt,0.9196,1142,1658
393.txt,0.8084,1242,1488
394.txt,0.8337,1191,1383
40.txt,0.8100,1826,2230
422.txt,0.8989,1257,1618
44.txt,0.8624,1789,2182
451.txt,0.8765,1261,1872
452.txt,0.8539,1083,1568
481.txt,0.8446,1259,1831
482.txt,0.8853,1187,1526
484.txt,0.8085,1138,1195
511.txt,0.8171,1269,1801
512.txt,0.8524,1137,1483
54.txt,0.8505,1745,2095
541.txt,0.8140,1216,1769
542.txt,0.8284,1000,1426
55.txt,0.8599,1732,2085
56.txt,0.8425,1729,2081
571.txt,0.8249,1349,1747
6.txt,0.8542,1800,2362
60.txt,0.8239,1828,2050
601.txt,0.8053,1325,1707
63.txt,0.8671,1744,2285
7.txt,0.8840,1867,2356
8.txt,0.8533,1884,2352
841.txt,0.8332,1184,1429
872.txt,0.8744,1025,1028
9.txt,0.8864,1886,2350
910.txt,0.8428,1141,1388
911.txt,0.8284,1189,1387
912.txt,0.8133,1189,1384
914.txt,0.8289,1144,1383
915.txt,0.8196,1150,1383
916.txt,0.8660,1138,1381
917.txt,0.9093,1139,1381
918.txt,0.8784,1137,1378
919.txt,0.8674,1139,1377
934.txt,0.8605,1063,1382
935.txt,0.9197,1119,1378
936.txt,0.9220,1134,1372
937.txt,0.8904,1126,1366
938.txt,0.8987,1122,1361
939.txt,0.8781,1125,1354
940.txt,0.8565,1122,1348
962.txt,0.8108,1056,1376
963.txt,0.8874,1054,1368
964.txt,0.8795,1097,1353
992.txt,0.8652,1088,1359
993.txt,0.8605,1117,1338
994.txt,0.8081,1094,1320
995.txt,0.8289,1114,1302
108187.txt,0.8275,2298,3132
108188.txt,0.8296,2202,3000
108215.txt,0.8023,2327,3208
108216.txt,0.8030,2204,3014
108217.txt,0.8493,2026,2858
108218.txt,0.8628,1979,2707
108219.txt,0.9008,1780,2585
108220.txt,0.8342,1927,2484
108221.txt,0.8562,1665,2374
108247.txt,0.8117,1783,2585
108274.txt,0.8213,1921,2923
108275.txt,0.8893,1757,2684
108276.txt,0.8787,1595,2484
108277.txt,0.8671,1846,2324
108278.txt,0.8808,1779,2180
108305.txt,0.8641,1605,2491
108333.txt,0.8444,2019,2840
108334.txt,0.8515,1808,2536
108335.txt,0.9038,1479,2311
108336.txt,0.8564,1680,2122
108337.txt,0.8118,1603,1963
108364.txt,0.9242,1498,2341
108365.txt,0.8573,1571,2119
108366.txt,0.9217,1298,1952
108394.txt,0.9473,1424,2210
108395.txt,0.9120,1362,1994
108396.txt,0.9215,1195,1820
108424.txt,0.9538,1399,2074
108425.txt,0.9200,1243,1860
108426.txt,0.8748,1507,1674
108427.txt,0.8579,1401,1495
108574.txt,0.8027,1201,1511
108575.txt,0.8225,1048,1304
108693.txt,0.8757,1143,1448
108722.txt,0.8950,1153,1747
108723.txt,0.8954,1077,1367
108752.txt,0.9099,1055,1628
108753.txt,0.9133,1000,1266
108782.txt,0.8665,1014,1573
108812.txt,0.8999,1000,1517
108842.txt,0.9324,1000,1451
108872.txt,0.8583,1113,1387
108920.txt,0.8428,2765,3781
108929.txt,0.8119,1025,3707
108944.txt,0.8298,1007,3536
108950.txt,0.8160,2592,3416
108951.txt,0.8537,2554,3394
108953.txt,0.8044,2548,3353
108954.txt,0.8282,2626,3330
108955.txt,0.8198,2630,3314
108956.txt,0.8188,2500,3294
108957.txt,0.8122,2589,3276
108958.txt,0.8681,2463,3265
108987.txt,0.8154,2256,2815
108995.txt,0.8805,2486,3402
109000.txt,0.8646,2306,3053
109001.txt,0.8333,2198,2998
109002.txt,0.8514,2242,2955
109003.txt,0.8408,2181,2897
109004.txt,0.9114,2096,2861
109006.txt,0.8310,2046,2772
109007.txt,0.9115,2030,2742
109008.txt,0.8478,2040,2703
109009.txt,0.8377,1973,2667
109010.txt,0.8914,1008,2621
109024.txt,0.8536,2436,3309
109028.txt,0.8645,2141,2915
109031.txt,0.8824,1989,2713
109057.txt,0.8513,2104,2748
109059.txt,0.8592,1904,2574
109086.txt,0.8109,2016,2605
109088.txt,0.9096,1716,2394
109117.txt,0.8754,1639,2301
109146.txt,0.8390,1577,2241
109174.txt,0.8304,1886,2348
109175.txt,0.8390,1754,2189
109205.txt,0.9331,1328,2055
109232.txt,0.8348,1943,2612
109262.txt,0.8807,1717,2507
109651.txt,0.8698,1363,2006
109652.txt,0.8433,1000,1408
109681.txt,0.8598,1309,1946
109682.txt,0.8100,1000,1351
109711.txt,0.8320,1267,1876
109741.txt,0.8218,1228,1794
109771.txt,0.8679,1139,1718
109927.txt,0.8328,1671,2470
109928.txt,0.8989,1729,2409
109929.txt,0.8522,1696,2363
109930.txt,0.8401,1592,2311
109931.txt,0.8993,1569,2275
109935.txt,0.8324,1517,2113
109936.txt,0.8928,1493,2085
109937.txt,0.9081,1505,2042
109938.txt,0.8401,1486,2011
109939.txt,0.9305,1447,1974
109940.txt,0.9304,1425,1938
109941.txt,0.9448,1413,1912
109942.txt,0.8429,1384,1877
109944.txt,0.8772,1347,1842
109945.txt,0.8458,1400,1818
110045.txt,0.8262,1628,2013
110074.txt,0.8073,1279,1991
110075.txt,0.8606,1215,1871
110078.txt,0.8025,1111,1606
110105.txt,0.8186,1129,1767
111005.txt,0.8351,1247,1554
111034.txt,0.8734,1257,1591
111035.txt,0.8488,1189,1465
111036.txt,0.9040,1128,1393
111064.txt,0.8221,1219,1503
111065.txt,0.8118,1144,1392
111066.txt,0.8520,1069,1308
111095.txt,0.8083,1095,1328
111731.txt,0.9057,1195,1759
111732.txt,0.9011,1184,1730
111736.txt,0.8715,1153,1648
111759.txt,0.9238,1158,1681
111760.txt,0.8066,1172,1648
111788.txt,0.9218,1086,1597
111789.txt,0.8412,1204,1559
111790.txt,0.8349,1206,1522
111791.txt,0.8570,1201,1490
111793.txt,0.8151,1172,1439
111794.txt,0.8348,1151,1410
111795.txt,0.8846,1076,1361
111796.txt,0.9248,1058,1344
111797.txt,0.9122,1042,1324
111798.txt,0.9193,1020,1300
111799.txt,0.9125,1002,1278
111800.txt,0.9249,1012,1261
111801.txt,0.8712,1000,1241
111802.txt,0.8894,1000,1217
111803.txt,0.8804,1000,1196
111817.txt,0.8751,1065,1548
111824.txt,0.8517,1028,1293
111825.txt,0.8531,1000,1266
111826.txt,0.8589,1000,1236
111827.txt,0.8924,1000,1216
111828.txt,0.8470,1026,1186
111829.txt,0.8013,1004,1160
111830.txt,0.8136,1000,1142
111845.txt,0.8076,1063,1580
111846.txt,0.9059,1010,1504
111847.txt,0.8375,1027,1436
111848.txt,0.8401,1102,1382
111849.txt,0.8888,1052,1338
111850.txt,0.8050,1048,1296
111851.txt,0.8831,1007,1266
111852.txt,0.8251,1000,1210
111853.txt,0.8505,1000,1193
111854.txt,0.8572,1011,1160
111855.txt,0.9193,1094,1137
111856.txt,0.9074,1074,1111
111857.txt,0.8799,1069,1086
111858.txt,0.8313,1050,1063
111874.txt,0.8859,1049,1574
111875.txt,0.8639,1025,1483
111876.txt,0.8885,1000,1406
111877.txt,0.8522,1340,1340
111884.txt,0.9375,1066,1066
111885.txt,0.9225,1040,1040
111886.txt,0.8731,1014,1014
111904.txt,0.8345,1000,1515
111905.txt,0.8992,1000,1410
111906.txt,0.9028,1063,1329
111907.txt,0.8362,1041,1272
111913.txt,0.8160,1005,1005
111933.txt,0.8668,1000,1557
111934.txt,0.9226,1000,1431
111935.txt,0.9355,1000,1334
111936.txt,0.9625,1000,1264
111937.txt,0.8611,1000,1191
111938.txt,0.8959,1020,1144
111963.txt,0.8743,1000,1493
111964.txt,0.8636,1000,1363
111965.txt,0.8769,1000,1270
111966.txt,0.8757,1000,1206
111967.txt,0.9159,1000,1138
111968.txt,0.8123,1000,1057
111995.txt,0.8507,1000,1218
111996.txt,0.8188,1000,1135
111997.txt,0.8941,1000,1072
112022.txt,0.8263,1112,1532
112026.txt,0.8011,1000,1066
112509.txt,0.8137,1562,1957
112510.txt,0.8417,1576,1957
112511.txt,0.8520,1566,1953
112512.txt,0.8444,1570,1951
112513.txt,0.8333,1581,1949
112514.txt,0.8252,1564,1945
112516.txt,0.8021,1556,1942
112520.txt,0.8276,1347,1934
112622.txt,0.8502,1490,1861
112637.txt,0.8006,1171,1436
112640.txt,0.8008,1387,1387
112641.txt,0.8640,1379,1379
112642.txt,0.8948,1358,1358
112667.txt,0.8094,1031,1299
112668.txt,0.8459,1008,1274
112682.txt,0.8564,1431,1780
112695.txt,0.8139,1000,1215
112698.txt,0.8381,1155,1155
112699.txt,0.8139,1131,1131
112700.txt,0.8644,1111,1111
112701.txt,0.8058,1095,1095
112771.txt,0.8869,1419,1762
112772.txt,0.8268,1097,1606
112776.txt,0.8100,1034,1242
112779.txt,0.8043,1117,1117
112801.txt,0.9108,1375,1722
112831.txt,0.8583,1359,1698
112861.txt,0.8195,1336,1656
113407.txt,0.8334,1312,1656
113408.txt,0.8180,1313,1654
113409.txt,0.8734,1316,1654
113410.txt,0.8884,1314,1651
113411.txt,0.8867,1312,1650
113412.txt,0.8985,1310,1644
113413.txt,0.8959,1314,1644
113414.txt,0.9225,1302,1644
113415.txt,0.9265,1298,1639
113416.txt,0.9180,1299,1639
113417.txt,0.9191,1299,1639
113418.txt,0.9274,1298,1639
113419.txt,0.9237,1300,1636
113420.txt,0.9201,1293,1635
113421.txt,0.9026,1297,1635
113422.txt,0.8983,1306,1635
113423.txt,0.9126,1280,1635
113424.txt,0.9149,1277,1635
113425.txt,0.9355,1276,1635
113426.txt,0.9189,1278,1634
113427.txt,0.9265,1275,1630
113428.txt,0.9152,1274,1630
113429.txt,0.9127,1277,1629
113430.txt,0.9271,1170,1625
113439.txt,0.8259,1351,1612
113440.txt,0.8214,1391,1605
113441.txt,0.8147,1602,1602
113442.txt,0.8144,1339,1600
113443.txt,0.8408,1294,1597
113444.txt,0.8037,1590,1590
113445.txt,0.8211,1265,1582
113446.txt,0.8332,1263,1579
113447.txt,0.8174,1259,1574
113468.txt,0.8094,1274,1576
113469.txt,0.8020,1292,1567
113493.txt,0.8579,1281,1586
113494.txt,0.8453,1262,1565
113495.txt,0.8704,1243,1545
113496.txt,0.8471,1231,1531
113497.txt,0.8181,1219,1513
113498.txt,0.8907,1160,1495
113525.txt,0.8001,1161,1499
114307.txt,0.8515,1198,1560
114308.txt,0.8639,1227,1559
114309.txt,0.8542,1234,1559
114310.txt,0.8502,1232,1556
114311.txt,0.8096,1232,1555
114313.txt,0.8311,1234,1550
114314.txt,0.8151,1225,1548
114316.txt,0.8271,1226,1546
114317.txt,0.8415,1222,1545
114318.txt,0.8640,1217,1544
114319.txt,0.8771,1217,1542
114320.txt,0.8710,1214,1540
114321.txt,0.8779,1197,1540
114322.txt,0.8579,1180,1539
